Flight No.;Launch site;Payload;Payload mass;Orbit;Customer;Launch outcome;Version Booster;Booster landing;Date;Time
19;Cape Canaveral,LC-40;SpaceX CRS-7(Dragon C109);1,952kg;LEO (ISS);NASA (CRS);Failure(in flight);F9 v1.1B1018;Precluded(drone ship);28 June 2015;14:21
20;Cape Canaveral,LC-40;Orbcomm-OG2-2(11 satellites);2,034kg;LEO;Orbcomm;Success;F9 FTB1019.1;Success(ground pad);22 December 2015;01:29
21;VAFB,SLC-4E;Jason-3;553kg;LEO;NASA (LSP)NOAACNES;Success;F9 v1.1B1017;Failure(drone ship);17 January 2016;18:42
22;Cape Canaveral,LC-40;SES-9;5,271kg;GTO;SES;Success;F9 FTB1020.1;Failure(drone ship);4 March 2016;23:35
23;Cape Canaveral,LC-40;SpaceX CRS-8(Dragon C110.1);3,136kg;LEO (ISS);NASA (CRS);Success;F9 FTB1021.1;Success(drone ship);8 April 2016;20:43
24;Cape Canaveral,LC-40;JCSAT-14;4,696kg;GTO;SKY Perfect JSAT Group;Success;F9 FTB1022.1;Success(drone ship);6 May 2016;05:21
25;Cape Canaveral,LC-40;Thaicom 8;3,100kg;GTO;Thaicom;Success;F9 FTB1023.1;Success(drone ship);27 May 2016;21:39
26;Cape Canaveral,LC-40;ABS-2AEutelsat 117 West B;3,600kg;GTO;ABSEutelsat;Success;F9 FTB1024.1;Failure(drone ship);15 June 2016;14:29
27;Cape Canaveral,LC-40;SpaceX CRS-9(Dragon C111.1);2,257kg;LEO (ISS);NASA (CRS);Success;F9 FTB1025.1;Success(ground pad);18 July 2016;04:45
28;Cape Canaveral,LC-40;JCSAT-16;4,600kg;GTO;SKY Perfect JSAT Group;Success;F9 FTB1026.1;Success(drone ship);14 August 2016;05:26
N/A [e];Cape Canaveral,LC-40;Amos-6;5,500kg;GTO;Spacecom;Precluded(failure pre-flight);F9 FT B1028.1;Precluded(drone ship);3 September 2016;07:00(planned)
29;VAFB,SLC-4E;Iridium NEXT-1(10 satellites);9,600kg;Polar LEO;Iridium Communications;Success;F9 FTB1029.1;Success(drone ship);14 January 2017;17:54
30;KSC,LC-39A;SpaceX CRS-10(Dragon C112.1);2,490kg;LEO (ISS);NASA (CRS);Success;F9 FTB1031.1;Success(ground pad);19 February 2017;14:39
31;KSC,LC-39A;EchoStar 23;5,600kg;GTO;EchoStar;Success;F9 FTB1030.1;Not attempted;16 March 2017;06:00
32;KSC,LC-39A;SES-10;5,300kg;GTO;SES;Success;F9 FT ♺B1021.2;Success(drone ship);30 March 2017;22:27
33;KSC,LC-39A;NROL-76;C;LEO;NRO;Success;F9 FTB1032.1;Success(ground pad);1 May 2017;11:15
34;KSC,LC-39A;Inmarsat-5 F4;6,070kg;GTO;Inmarsat;Success;F9 FTB1034.1;Not attempted;15 May 2017;23:21
35;KSC,LC-39A;SpaceX CRS-11(Dragon C106.2 ♺);2,708kg;LEO (ISS);NASA (CRS);Success;F9 FTB1035.1;Success(ground pad);3 June 2017;21:07
36;KSC,LC-39A;BulgariaSat-1;3,669kg;GTO;Bulsatcom;Success;F9 FT ♺ B1029.2;Success(drone ship);23 June 2017;19:10
37;VAFB,SLC-4E;Iridium NEXT-2(10 satellites);9,600kg;LEO;Iridium Communications;Success;F9 FTB1036.1;Success(drone ship);25 June 2017;20:25
38;KSC,LC-39A;Intelsat 35e;6,761kg;GTO;Intelsat;Success;F9 FTB1037.1;Not attempted;5 July 2017;23:38
39;KSC,LC-39A;SpaceX CRS-12(Dragon C113.1);3,310kg;LEO (ISS);NASA (CRS);Success;F9 B4B1039.1;Success(ground pad);14 August 2017;16:31
40;VAFB,SLC-4E;Formosat-5;475kg;SSO;NSPO;Success;F9 FTB1038.1;Success(drone ship);24 August 2017;18:51
41;KSC,LC-39A;Boeing X-37B OTV-5;4,990kg;LEO;USAF;Success;F9 B4B1040.1;Success(ground pad);7 September 2017;14:00
42;VAFB,SLC-4E;Iridium NEXT-3(10 satellites);9,600kg;Polar LEO;Iridium Communications;Success;F9 B4B1041.1;Success(drone ship);9 October 2017;12:37
